E_type,Voltage (V),Specific surface area (m2/g),IDIG_ratio,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
2,1,1438,0.91,0.6,11.9,0.5,130
2,1,1438,0.91,0.6,11.9,1,124
2,1,1438,0.91,0.6,11.9,5,99
2,1,1438,0.91,0.6,11.9,15,80
2,1,1803,0.98,6.5,15.8,0.5,178
2,1,1803,0.98,6.5,15.8,1,169
2,1,1803,0.98,6.5,15.8,5,138
2,1,1803,0.98,6.5,15.8,10,117
2,1,1803,0.98,6.5,15.8,15,104
2,1,1438,0.91,0.6,11.9,0.5,132
2,1,1438,0.91,0.6,11.9,1,127
2,1,1438,0.91,0.6,11.9,5,101
2,1,1438,0.91,0.6,11.9,10,95
3,1,847.9,0.92,1.45,25.07,0.5,220
3,1,891.8,0.8,0.96,18.74,0.5,272
3,1,878.2,0.78,1.02,15.88,0.5,250
3,1,1776.9,0.92,2.65,16.34,0.5,300.6
3,1,847.9,0.92,1.45,25.07,1,202
3,1,891.8,0.8,0.96,18.74,1,239
3,1,878.2,0.78,1.02,15.88,1,220
3,1,1776.9,0.92,2.65,16.34,1,268
3,1,847.9,0.92,1.45,25.07,2,186
3,1,891.8,0.8,0.96,18.74,2,213
3,1,878.2,0.78,1.02,15.88,2,197
3,1,1776.9,0.92,2.65,16.34,2,244
3,1,847.9,0.92,1.45,25.07,5,174
3,1,891.8,0.8,0.96,18.74,5,191
3,1,878.2,0.78,1.02,15.88,5,180
3,1,1776.9,0.92,2.65,16.34,5,224
3,1,847.9,0.92,1.45,25.07,10,167
3,1,891.8,0.8,0.96,18.74,10,184
3,1,878.2,0.78,1.02,15.88,10,172
3,1,1776.9,0.92,2.65,16.34,10,219
3,1,847.9,0.92,1.45,25.07,20,165
3,1,891.8,0.8,0.96,18.74,20,183
3,1,878.2,0.78,1.02,15.88,20,172
3,1,1776.9,0.92,2.65,16.34,20,213
2,2.5,1660,0.94,0.7,4.7,1,218
2,2.5,1355,0.9,0.7,4.4,1,152
2,2.5,1290,0.88,0.6,3.3,1,130
2,2.5,1660,0.94,0.7,4.7,2,212
2,2.5,1355,0.9,0.7,4.4,2,146
2,2.5,1290,0.88,0.6,3.3,2,126
2,2.5,1660,0.94,0.7,4.7,5,205
2,2.5,1355,0.9,0.7,4.4,5,136
2,2.5,1290,0.88,0.6,3.3,5,118
2,2.5,1660,0.94,0.7,4.7,10,197
2,2.5,1355,0.9,0.7,4.4,10,128
2,2.5,1290,0.88,0.6,3.3,10,109
2,2.5,1660,0.94,0.7,4.7,15,195
2,2.5,1355,0.9,0.7,4.4,15,122
2,2.5,1290,0.88,0.6,3.3,15,113
2,2.5,1660,0.94,0.7,4.7,20,190
2,2.5,1355,0.9,0.7,4.4,20,118
2,2.5,1290,0.88,0.6,3.3,20,96
2,2.5,1660,0.94,0.7,4.7,25,185
2,2.5,1355,0.9,0.7,4.4,25,111
2,2.5,1290,0.88,0.6,3.3,25,91
2,2.5,1660,0.94,0.7,4.7,30,180
2,2.5,1355,0.9,0.7,4.4,30,107
2,2.5,1290,0.88,0.6,3.3,30,86
2,2.5,1660,0.94,0.7,4.7,35,174
2,2.5,1355,0.9,0.7,4.4,35,113
2,2.5,1290,0.88,0.6,3.3,35,80
2,2.5,1660,0.94,0.7,4.7,40,170
2,2.5,1355,0.9,0.7,4.4,40,98
2,2.5,1290,0.88,0.6,3.3,40,76
2,2.5,1660,0.94,0.7,4.7,45,163
2,2.5,1355,0.9,0.7,4.4,45,94
2,2.5,1290,0.88,0.6,3.3,45,71
2,2.5,1660,0.94,0.7,4.7,50,159
2,2.5,1355,0.9,0.7,4.4,50,88
2,2.5,1290,0.88,0.6,3.3,50,67
3,1,1660,0.94,0.7,4.7,0.1,420
3,1,1355,0.9,0.7,4.4,0.1,354
3,1,1290,0.88,0.6,3.3,0.1,289
3,1,1660,0.94,0.7,4.7,1,348
3,1,1355,0.9,0.7,4.4,1,288
3,1,1290,0.88,0.6,3.3,1,224
3,1,1660,0.94,0.7,4.7,2,327
3,1,1355,0.9,0.7,4.4,2,276
3,1,1290,0.88,0.6,3.3,2,220
3,1,1660,0.94,0.7,4.7,5,311
3,1,1355,0.9,0.7,4.4,5,258
3,1,1290,0.88,0.6,3.3,5,211
3,1,1660,0.94,0.7,4.7,10,302
3,1,1355,0.9,0.7,4.4,10,247
3,1,1290,0.88,0.6,3.3,10,207
3,1,1660,0.94,0.7,4.7,20,300
3,1,1355,0.9,0.7,4.4,20,238
3,1,1290,0.88,0.6,3.3,20,207
3,1,1660,0.94,0.7,4.7,30,300
3,1,1355,0.9,0.7,4.4,30,235
3,1,1290,0.88,0.6,3.3,30,203
3,1,1660,0.94,0.7,4.7,40,295
3,1,1355,0.9,0.7,4.4,40,231
3,1,1290,0.88,0.6,3.3,40,196
3,1,1660,0.94,0.7,4.7,50,289
3,1,1355,0.9,0.7,4.4,50,232
3,1,1290,0.88,0.6,3.3,50,195
3,1,1660,0.94,0.7,4.7,100,284
2,1,1660,0.94,0.7,4.7,0.5,233
2,1,1355,0.9,0.7,4.4,0.5,217
2,1,1660,0.94,0.7,4.7,1,189
2,1,1355,0.9,0.7,4.4,1,207
2,1,1290,0.88,0.6,3.3,1,222
