DOI,Year,Materials Name,Electrolyte,E-type,Voltage (V),Specific surface area (m2/g),IDIG,N-doped (at%),O-doped (at%),Current density (A/g),Capacitance (F/g)
10.1039/c8qm00284c,2018,C-B-800,KOH,2,1,191.2,0.91,0,0,10,14
10.1039/c8qm00284c,2018,C-B-900,KOH,2,1,542.5,1.04,0,0,10,87.5
10.1039/c8qm00284c,2018,C-B-1000,KOH,2,1,527.5,1.11,0,0,10,106
10.1039/c8qm00284c,2018,C-S-800,KOH,2,1,318.6,0.95,0,0,10,33.1
10.1039/c8qm00284c,2018,C-S-900,KOH,2,1,1356.3,1.09,0,0,10,232.5
10.1039/c8qm00284c,2018,C-S-1000,KOH,2,1,1122.3,1.12,0,0,10,170.2
10.1039/c8qm00284c,2018,C-B-800,KOH,2,1,191.2,0.91,0,0,20,11.3
10.1039/c8qm00284c,2018,C-B-900,KOH,2,1,542.5,1.04,0,0,20,87.4
10.1039/c8qm00284c,2018,C-B-1000,KOH,2,1,527.5,1.11,0,0,20,100
10.1039/c8qm00284c,2018,C-S-800,KOH,2,1,318.6,0.95,0,0,20,30
10.1039/c8qm00284c,2018,C-S-900,KOH,2,1,1356.3,1.09,0,0,20,228.6
10.1039/c8qm00284c,2018,C-S-1000,KOH,2,1,1122.3,1.12,0,0,20,166.3
10.1039/c8nr00207j,2018,PB-5,KOH,3,1,675,0.8,8.6,13.8,0.5,105
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,0.5,199
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,1,182
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,2,163
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,3,151
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,4,144
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,5,136
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,10,127
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,15,123
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,20,120
10.1039/c8nr00207j,2018,PB-15,KOH,3,1,862,0.77,9.1,11.7,30,117
10.1039/c7ta05710e,2017,N-GPC,KOH,2,1,498.5,0.71,4.11,15.93,1,238
10.1039/c7ta05710e,2017,N-PC,KOH,2,1,665,1.01,5.82,11.8,1,175
10.1039/c7ta05710e,2017,N-GPC,KOH,2,1,498.5,0.71,4.11,15.93,5,211
10.1039/c7ta05710e,2017,N-PC,KOH,2,1,665,1.01,5.82,11.8,5,162
10.1039/c7ta05710e,2017,N-GPC,KOH,2,1,498.5,0.71,4.11,15.93,10,201
10.1039/c7ta05710e,2017,N-PC,KOH,2,1,665,1.01,5.82,11.8,10,125
10.1039/c7ta05710e,2017,N-GPC,KOH,2,1,498.5,0.71,4.11,15.93,20,187
10.1039/c7ta05710e,2017,N-PC,KOH,2,1,665,1.01,5.82,11.8,20,92
10.1039/c7ta05710e,2017,N-GPC,KOH,2,1,498.5,0.71,4.11,15.93,50,166
10.1039/c7ta05710e,2017,N-PC,KOH,2,1,665,1.01,5.82,11.8,50,68
10.1039/c7ta05710e,2017,N-GPC,KOH,2,1,498.5,0.71,4.11,15.93,100,148
10.1039/c7ta05710e,2017,N-PC,KOH,2,1,665,1.01,5.82,11.8,100,55
10.1039/c7ta05710e,2017,N-GPC,KOH,2,1,498.5,0.71,4.11,15.93,150,130
10.1039/c7ta05710e,2017,N-GPC,KOH,2,1,498.5,0.71,4.11,15.93,200,117
10.1039/c7ra07984b,2017,NC-700,KOH,3,1,1264,1.01,9.2,15.5,0.5,236
10.1039/c7ra07984b,2017,NC-800,KOH,3,1,1803,0.98,6.5,15.8,0.5,285
10.1039/c7ra07984b,2017,NC-900,KOH,3,1,2695,1.02,3.4,17.5,0.5,263
10.1039/c7ra07984b,2017,C-800,KOH,3,1,1438,0.91,0.6,11.9,0.5,248
10.1039/c7ra07984b,2017,NC-700,KOH,3,1,1264,1.01,9.2,15.5,1,216
10.1039/c7ra07984b,2017,NC-800,KOH,3,1,1803,0.98,6.5,15.8,1,270
10.1039/c7ra07984b,2017,NC-900,KOH,3,1,2695,1.02,3.4,17.5,1,242
10.1039/c7ra07984b,2017,C-800,KOH,3,1,1438,0.91,0.6,11.9,1,222
10.1039/c7ra07984b,2017,NC-700,KOH,3,1,1264,1.01,9.2,15.5,2,198
10.1039/c7ra07984b,2017,NC-800,KOH,3,1,1803,0.98,6.5,15.8,2,264
10.1039/c7ra07984b,2017,NC-900,KOH,3,1,2695,1.02,3.4,17.5,2,230
10.1039/c7ra07984b,2017,C-800,KOH,3,1,1438,0.91,0.6,11.9,2,213
10.1039/c7ra07984b,2017,NC-700,KOH,3,1,1264,1.01,9.2,15.5,5,189
10.1039/c7ra07984b,2017,NC-800,KOH,3,1,1803,0.98,6.5,15.8,5,245
10.1039/c7ra07984b,2017,NC-900,KOH,3,1,2695,1.02,3.4,17.5,5,206
10.1039/c7ra07984b,2017,C-800,KOH,3,1,1438,0.91,0.6,11.9,5,193
10.1039/c7ra07984b,2017,NC-700,KOH,3,1,1264,1.01,9.2,15.5,8,164
10.1039/c7ra07984b,2017,NC-800,KOH,3,1,1803,0.98,6.5,15.8,8,227
10.1039/c7ra07984b,2017,NC-900,KOH,3,1,2695,1.02,3.4,17.5,8,185
10.1039/c7ra07984b,2017,C-800,KOH,3,1,1438,0.91,0.6,11.9,8,182
10.1039/c7ra07984b,2017,NC-700,KOH,3,1,1264,1.01,9.2,15.5,10,154
10.1039/c7ra07984b,2017,NC-800,KOH,3,1,1803,0.98,6.5,15.8,10,226
10.1039/c7ra07984b,2017,NC-900,KOH,3,1,2695,1.02,3.4,17.5,10,172
10.1039/c7ra07984b,2017,C-800,KOH,3,1,1438,0.91,0.6,11.9,10,166
10.1039/c7ra07984b,2017,NC-700,KOH,3,1,1264,1.01,9.2,15.5,15,116
10.1039/c7ra07984b,2017,NC-800,KOH,3,1,1803,0.98,6.5,15.8,15,224
10.1039/c7ra07984b,2017,NC-900,KOH,3,1,2695,1.02,3.4,17.5,15,166
10.1039/c7ra07984b,2017,C-800,KOH,3,1,1438,0.91,0.6,11.9,15,153
10.1039/c7ra07984b,2017,NC-800,KOH,3,1,1803,0.98,6.5,15.8,20,200
10.1039/c7ra07984b,2017,NC-900,KOH,3,1,2695,1.02,3.4,17.5,20,138
10.1039/c7ra07984b,2017,C-800,KOH,3,1,1438,0.91,0.6,11.9,20,133
10.1039/c7ra07984b,2017,NC-800,KOH,2,1,1803,0.98,6.5,15.8,0.5,156
10.1039/c7ra07984b,2017,NC-800,KOH,2,1,1803,0.98,6.5,15.8,1,153
10.1039/c7ra07984b,2017,NC-800,KOH,2,1,1803,0.98,6.5,15.8,5,130
10.1039/c7ra07984b,2017,NC-800,KOH,2,1,1803,0.98,6.5,15.8,10,111
10.1039/c7ra07984b,2017,NC-800,KOH,2,1,1803,0.98,6.5,15.8,15,95
10.1039/c7ra07984b,2017,C-800,KOH,2,1,1438,0.91,0.6,11.9,0.5,130
10.1039/c7ra07984b,2017,C-800,KOH,2,1,1438,0.91,0.6,11.9,1,124
10.1039/c7ra07984b,2017,C-800,KOH,2,1,1438,0.91,0.6,11.9,5,99
10.1039/c7ra07984b,2017,C-800,KOH,2,1,1438,0.91,0.6,11.9,15,80
10.1039/c7ra07984b,2017,NC-800,H2SO4,2,1,1803,0.98,6.5,15.8,0.5,178
10.1039/c7ra07984b,2017,NC-800,H2SO4,2,1,1803,0.98,6.5,15.8,1,169
